Year,Hazardous_public_safety,Harm_the_socialist_market_economic_order,Infringement_of_civil_rights,Property_crime,Harm_social_management_order,Crime_of_harming_national_defense,Bribery,Misrepresentation,etc,Zero_Eighteen,Eighteen_Twentyfive
2002,53433,15252,186463,277796,77196,134,19192,1541,341,50030,167879
2003,57369,14591,182642,278629,76072,151,20765,2082,304,58870,172845
2004,68795,13920,175494,285242,79073,151,21973,2560,333,70144,178984
2005,75099,15229,177701,304641,87501,216,21558,2664,288,82721,203249
2006,79583,16792,175705,310666,95330,192,20952,2881,344,83697,219934
2007,84795,19228,172101,317339,106412,220,20563,3148,306,87525,228872
2008,90396,21833,176416,330525,121901,181,22214,3793,583,88891,233170
2009,86987,25240,180677,314219,134380,196,22233,4003,572,77604,224419
2010,88950,30386,184233,293561,153201,207,23889,4489,679,68193,219785
2011,119659,34577,188417,302157,171840,180,23232,4611,1311,67280,215149
2012,175439,64963,195816,342667,183841,213,26680,5596,1396,63782,219208
2013,193275,51987,186280,306014,201688,247,25416,5703,957,55817,209622
2014,219894,57776,187631,311652,228684,257,27543,5927,1093,50415,199161
2015,247795,61639,183526,318680,279822,222,28846,5779,439,43839,192502
2016,271877,58946,167304,319007,254357,,24011,5131,558,35743,168914
2017,346856,59461,172203,329175,255179,341,25443,5278,441,32778,150693
2018,340629,81381,168019,310216,283126,802,16201,2424,257,34365,208910